CustomerID,Amount,DeviceBrand,DeviceModel,Fraud,FraudType
4677,3605.61,Realme,GT Neo 5,0,Non-Fraud
9927,3192.43,Samsung,Galaxy Note 20,0,Non-Fraud
3794,793.61,Laptop,Dell XPS,0,Non-Fraud
1174,4526.92,Samsung,Galaxy Note 20,0,Non-Fraud
5976,3172.57,Oppo,Reno 8,1,"Fraud Onboarding 
Alamat Palsu"
7814,4698.51,Google,Pixel 7,1,"CNP (Card Not Present)
Fake Account"
9247,1359.07,Oppo,Reno 8,0,Non-Fraud
6395,2384.31,Realme,GT Neo 5,0,Non-Fraud
6093,2675.58,Xiaomi,Redmi 13C,0,Non-Fraud
1750,557.94,Custom PC,Windows 10 Office PC,0,Non-Fraud
2776,1776.91,Oppo,Find X5 Pro,0,Non-Fraud
6991,2873.94,Apple,iPhone 12,1,"CNP (Card Not Present)
Transaksi Berulang"
8363,26.52,Huawei,Mate 40,0,Non-Fraud
9984,1756.07,Huawei,MatePad Pro,0,Non-Fraud
7638,1690.72,Huawei,MatePad Pro,0,Non-Fraud
6625,4073.8,Laptop,HP Pavilion,0,Non-Fraud
4666,4907.65,Xiaomi,Poco X5,0,Non-Fraud
7795,116.72,Apple,iPhone 14 Pro Max,0,Non-Fraud
4554,4405.67,Samsung,Galaxy Z Fold 5,0,Non-Fraud
6245,4469.61,Infinix,Zero Ultra,0,Non-Fraud
8273,557.96,Laptop,Asus ROG,0,Non-Fraud
1660,1347.99,Laptop,HP Pavilion,1,"Fraud Onboarding 
Dokumen Curian"
6203,3097.34,Vivo,V27 Pro,1,"Fraud E-Commerce
Pesanan Palsu"
6784,3503.83,Samsung,Galaxy A54,0,Non-Fraud
6382,2489.25,Laptop,Acer Aspire,0,Non-Fraud
6050,3606.28,Apple,iPad Air,1,"Fraud E-Commerce
Refund Fraud"
4257,4171.1,Google,Pixel 7,1,"Fraud Onboarding 
Data Duplikat"
9297,3118.8,Xiaomi,Pad 6,0,Non-Fraud
6398,362.12,Apple,iPhone 13 Pro,0,Non-Fraud
4976,3020.29,Laptop,MSI Stealth,1,"Counterfeit
Modifikasi Chip"
8542,3418.22,Apple,iPhone SE,0,Non-Fraud
5182,4491.19,Laptop,Acer Aspire,1,"CNP (Card Not Present)
Bot Transaksi"
6510,3006.27,Samsung,Galaxy Note 20,1,"Fraud E-Commerce
Pembayaran Ditunda"
3341,2252.51,Oppo,Reno 8,1,"Fraud E-Commerce
Pesanan Palsu"
5274,3412.3,Xiaomi,Redmi 13C,1,"Fraud Onboarding 
Alamat Palsu"
1519,753.39,Huawei,P50 Pro,0,Non-Fraud
5485,2893.63,Laptop,Dell XPS,1,"Counterfeit
Kartu Kloning"
2279,4389.26,Apple,iPhone 14 Pro Max,1,"Fraud E-Commerce
Refund Fraud"
7224,2574.75,Custom PC,Windows 10 Office PC,1,"Fraud E-Commerce
Pembayaran Ditunda"
3350,3260.06,Apple,MacBook Air M2,1,"CNP (Card Not Present)
Fake Account"
5454,1333.67,Apple,iPhone 14 Pro Max,0,Non-Fraud
